,scenario,timestep,collision_rate
0,line,24576,0.6896551847457886
1,line,49152,0.6428571343421936
2,line,73728,0.664893627166748
3,line,98304,0.7383720874786377
4,line,122880,0.7653061151504517
9,line,144576,0.7247191071510315
5,line,147456,0.7417582273483276
10,line,169152,0.6666666865348816
6,line,172032,0.7857142686843872
11,line,193728,0.7425742745399475
12,line,218304,0.725806474685669
13,line,242880,0.8064516186714172
14,line,267456,0.6499999761581421
15,line,292032,0.6702127456665039
16,line,316608,0.6666666865348816
17,line,341184,0.6875
18,line,365760,0.6185566782951355
19,line,390336,0.7340425252914429
20,line,414912,0.708791196346283
21,line,439488,0.7891566157341003
22,line,464064,0.6910112500190735
23,line,488640,0.6395348906517029
24,line,513216,0.6808510422706604
25,line,537792,0.859375
26,line,564576,0.593406617641449
27,line,589152,0.7277777791023254
28,line,613728,0.6436170339584351
29,line,638304,0.7674418687820435
30,line,662880,0.930232584476471
31,line,687456,0.8850574493408203
32,line,712032,0.8505747318267822
0,easy,1448640,0.9487179517745972
1,easy,1473216,1.0
2,easy,1497792,0.9803921580314636
3,easy,1522368,1.0
4,easy,1546944,1.0
5,easy,1571520,1.0
6,easy,1596096,1.0
7,easy,1620672,1.0
8,easy,1645248,1.0
9,easy,1669824,1.0
10,easy,1694400,1.0
11,easy,1718976,1.0
12,easy,1743552,1.0
13,easy,1768128,1.0
14,easy,1792704,1.0
15,easy,1817280,1.0
16,easy,1841856,1.0
17,easy,1866432,1.0
18,easy,1891008,0.9777777791023254
19,easy,1915584,1.0
20,easy,1940160,1.0
21,easy,1964736,0.976190447807312
22,easy,1989312,1.0
23,easy,2013888,1.0
24,easy,2038464,0.9090909361839294
25,easy,2063040,0.9464285969734192
26,easy,2087616,1.0
27,easy,2112192,0.970588207244873
28,easy,2136768,0.96875
29,easy,2161344,0.9666666388511658
30,easy,2185920,0.9375
31,easy,2210496,0.90625
32,easy,2235072,0.9285714030265808
33,easy,2259648,0.9142857193946838
34,easy,2284224,0.931034505367279
35,easy,2308800,0.9696969985961914
36,easy,2333376,0.939393937587738
37,easy,2357952,0.8387096524238586
38,easy,2382528,0.9666666388511658
39,easy,2407104,0.9166666865348816
40,easy,2431680,0.8666666746139526
0,easy_random,4175904,0.875
1,easy_random,4200480,0.8571428656578064
2,easy_random,4225056,0.8536585569381714
3,easy_random,4249632,0.800000011920929
4,easy_random,4274208,0.875
5,easy_random,4298784,0.800000011920929
6,easy_random,4323360,0.800000011920929
7,easy_random,4347936,0.8399999737739563
8,easy_random,4372512,0.8846153616905212
9,easy_random,4397088,0.7272727489471436
10,easy_random,4421664,0.75
11,easy_random,4446240,0.7272727489471436
12,easy_random,4470816,0.8571428656578064
13,easy_random,4495392,0.6842105388641357
14,easy_random,4519968,0.7916666865348816
