#{"t_start": 1676997645.5759246, "env_id": "PathColav3d-v0"}
r,l,t
-20103.234892,3180,38.93829--20-20123.802589,3033,79.69611-200-20066.128703,3899,128.333864
-1670.428955,815,139.82257-2-2-3494.772857,1794,164.45887-42-10786.865278,3507,192.806-20000--20382.477916,2439,220-20-20071.332851,3313,236.084978-200-200-11500.202995,3077,264.7-2020-20354.963145,2340,298.7206-5166-20548.451201,3699,344.118-1976--8199.415138,2169,371.2102-2002-20177.877251,2994,407.5939-16-1-3171.936293,1151,422.060-332-20041.99607,4261,471.565397
-20071.449565,3216,513.796081
-20059.421925,2679,546.478664
-1871.686419,1203,565.560086
-7690.878143,3394,607.717319
-5548.512323,2151,635.802251
-20405.296322,4364,692.911051
-2266.49726,1055,706.508477
-20116.036899,3080,746.644968
-20148.645508,1704,770.215522
-2114.206006,855,782.487838
-20041.439525,5687,854.414945
-20062.914157,2101,881.558064
-20067.058747,2686,918.993105
-20188.388628,2070,945.615716
-20118.909565,1512,967.849701
-4642.896677,2239,996.543952
-20137.982341,3522,1041.245504
-20408.897839,2618,1077.672964
-20040.586606,969,1090.617152
-6540.713246,2361,1120.363953
-2219.162882,1128,1134.920873
-20118.692229,1966,1161.226225
-20112.730938,2112,1188.850363
-20022.297172,1372,1205.332471
-20236.265572,3240,1251.507072
-4015.440162,1284,1267.113173
-2294.699117,943,1279.674973
-2528.829293,1317,1295.622064
-1398.799939,793,1307.281807
-11990.125375,1550,1325.766431
-1958.906022,1016,1339.15779
-5280.056184,1892,1364.62981
-2312.247683,1505,1386.558965
-3260.11653,1688,1406.1898
-20403.917869,2463,1441.046756
-20164.21287,3670,1487.011853
-20141.066661,2280,1520.521525
-20077.224952,2171,1547.874768
-2613.81463,1195,1562.932909
-20238.921749,2309,1592.070149
-20089.666749,1967,1618.364079
-20139.087108,1817,1643.349387
-2410.508473,1174,1658.180543
-1975.138906,1148,1672.620879
-20313.470937,2757,1710.506581
-6938.452867,3349,1753.918796
-1063.548315,558,1763.204693
-20132.139119,983,-16723.981596,-20196.277193,2396,1806.201322
-20131.702606,3036,1846.762878
-3092.048617,1066,1860.256496
-1820.009307,896,1872.38802
-1347.586952,690,1-14037.389209-20037.173212,2534,1-9616.427186,-20113.724313,3017,-20085.277528,-20140.629494,1301,-2560.619799,1-3747.047022,1806,1994.995579
-20011.235707,2919,2033.859688
-2382.983504,938,2046.411249
-6531.281946,2338,2076.460003
-20086.16944,2499,2107.584756
-1672.358279,861-16654.724615,1-3630.847099,2001,-10050.231332,2453,2158.053163
-20196.024043,1537,2180.358575
-20139.855742,2118,2207.937633
-993.468096,686,2214.248886
-8892.327076,4263,2269.902408
-20053.268069,2893,2308.465738
-20049.703475,4448,2368.666058
-1534.964551,718,2375.22461
-2342.896569,1284,2395.271646
-20257.652698,2314,2424.450308
-20081.240573,1829,2449.052233
-2097.425569,907,2457.446417
-20062.426873,2222,2490.86482
-20066.678002,1079,2504.599673
-1017.591905,742,2511.313262
-6620.600299,2647,2548.368397
-20075.101296,1936,2574.588257
-3560.578047,1066,2588.31535
-14594.807136,2039,2615.311895
-3366.317702,680,2625.783059
-1115.097648,687,2631.968127
-3607.518614,1196,2646.954013
-3318.752576,1438,2668.466729
-20120.28975,1583,2686.829783
-201-20197.043433,2616,2714.49000-2514.9456,1436,2726.451829
-20158.483689,1752,2750.488335
-20208.726666,3860,2802.141121
-20164.491115,1257,2817.694779
--20039.333051,2597,2854.102557
-1058.867313,572,2859.185157
-20376.114334,2127,2886.715856
-20171.285141,1307,2907.016152
-1893.924702,822,2914.251849
--20051.044443,2417,2949.104626
--20374.452214,881,2961.301763-2--20278.822999,1720,2980.388461-20-6934.76844,2629,3017.246498
-955.988903,615,3022.812953
-20202.731566,3027,3062.944793
-1352.05604,621,3072.562792
-20204.350506,1412,3089.544395
--16028.453238,2769,3127.026253
-1943.343075,1015,3140.514589
-3371.154611,1414,3157.733068
-20099.123485,3793,3208.92107
-18297.083694,1597,3231.998745
-1163.772072,632,3237.700527
-9552.843506,2592,3273.748244
-2962.100518,1682,3293.314946
-1725.795995,929,3306.059915
-1269.999574,722,3316.693887
-1605.783708,758,3327.472638
-1314.344397,697,3333.666315
-796-20-20000.213655,2677,3368-20099.-38-20215.909691,2672,3401.282562
-20211.116255,1388,3422.389957
-20112.282109,1892,3447.94973
-20024.142437,1818,3468.135422
-1093.233475,788,3479.332844
-1243.550847,832,3491.087945
-20179.796132,976,3503.791302
-20282.804583,1005,3516.702083
-20044.850593,1038,3530.4-20153.7-20114.110011,2393,3561.189258
-20128.937547,1240,3581.018791
-20077.93729,1526,3599.10427
-16537.145789,1821,3623.891635
-17137.943659,1152,3638.344318
-1888.593747,1182,3653-20122.171-20031.93827,1877,3678.-20152.482329,3404,3705.280127
-2545.003301,1120,-20043.288123,-20220.090511,3552,3764.300156
-20103.282116,1685-20066.002055,3-20121.287218,1885,3813.084415
-2680.950505,1165,3827.924
-20110.687639,937,3840.662864
-20056.906149,1626,3863.676662
-7252.594891,1494,3881.049003
-3408.717722,1825-6687.081537,36-9832.380765,1946-20208.204018,2-20084.028872,2086,3958.791874
-5978.676567,2076,3985.17321
-1427.164667,774,-20104.059033,-20102.79233,2540,4028.130695
-7751.576997,3799,4079.682448
-20140.007311,1743,4099.378242
-20041.776207,1618,4123.255033
-20044.951685,1957,4149.262964
-20016.3304,1625,4168.533726
-20179.809996,2533,4203.980264
-2011.525647,852,4215.825521
-20157.221013,1910,4241.594736
-1736.573745,1005,4254.871782
-20150.779317,2901,4290.078814
-20049.292168,2504,4325.848444
-973.110902,730,4336.889546
-1204.409812,757,4343.88528
-20087.750895,1730,4367.830041
-20037.536385,3475,4411.602303
-6040.540892,2680,4448.534199
-20109.325485,2084,4475-20163.35-20234.996677,2981,4515.-20037.71-3946.215692,1789,4540.5-7292.21-20043.45983,3458,4585.1-20177.969553,4964,4627.472631
-3602.768209,1597,4650.162898
-20110.60702,2244,4679.332627
-3815.747595,1203,4694.408704
-20232.505023,3089,4735.240709
-20130.547348,2426,4769.972335
-20203.867146,1917,4791.570282
-7513.523222,2264,4824.415081
-20089.370849,2754,4857.406306
-1107.173912,678,4867.869297
-20113.420191,2564,4900.481286
-20055.348043,1984,4927.068846
-20000.597463,1983,4953.314991
-2538.224159,988,4966.523031
-3669.62143,1771,4991.947945
-20092.124411,2356,5022.807072
-20117.210643,4233,5078.863798
-20109.018522,1918,5104.667681
-1880.873654,1113,5119.258039
-20166.565308,2203,5152.060231
-17624.707216,1114,5166.438514
-20099.611207,3292,5208.688534
-1898.199593,683,5218.938386
-20053.569499,3950,5267.683365
-20027.03371,2539,5303.504016
-20109.876935,1810,5328.329994
-17370.778903,3174,5370.251014
-20027.390417,1980,5396.728808
-20207.853071,2603,5428.759552
-2428.457113,1335,5449.268809
-1442.072921,858,5457.029134
-1360.939009,625,5466.837322
-20028.962109,1902,5492.525423
-1200.787758,546,5497.408125
-20171.767679,3603,5547.108302
-20334.310334,2052,5574.026767
-20000.1755,1082,5588.338707
-5406.121393,1587,5607.058319
-2028.349178,837,5618.957571
-20084.668941,1797,5643.334154
-20063.301983,2255,5672.375489
-3359.581964,1216,5687.287934
-20185.82219,3575,5736.797939
-20056.264326,3007,5776.054311
-1303.119252,665,5786.433898
-11931.552416,5757,5860.76928
-20168.17376,4014,5913.706995
-20277.573918,805,5925.336982
-20098.346302,2879,5964.207297
-20131.167118,4832,6024.427316
-20201.981927,4035,6077.362688
-1011.202057,550,6086.494706
-20192.827831,1236,6101.863441
-1171.919989,680,6112.359245
-2488.506358,1279,6127.713355
-20126.998645,2094,6154.816589
-20150.785272,2216,6183.134948
-2611.132235,1074,6197.055538
-20159.640459,1354,6217.88059
-4560.660318,962,6230.762001
-2724.2388,1571,6249.39021
-20013.726845,1444,6266.778649
-20003.314459,1899,6292.893674
-1665.546272,686,6303.384821
-1705.911986,733,6313.974065
-20069.132675,1993,6340.531468
-8794.918882,2143,6368.266019
-15791.137661,2697,6401.409961
-5645.591291,2872,6440.103281
-3611.29154,2076,6467.513468
-20012.758769,2194,6495.470209
-20043.259397,2840,6534.26426
-3061.285666,1270,6549.872458
-20070.966018,1085,6563.820248
-2213.642684,1476,6584.981355
-20173.828866,3900,6637.230358
-2023.710727,825,6644.586514
-20021.971099,2605,6680.321551
-20077.792478,5017,6747.385463
-3004.407473,1348,6764.039204
-1776.75243,826,6775.845952
-2720.373981,1066,6789.873447
-1089.052224,586,6799.55803
-9468.792843,2275,6828.984374
-20093.991681,1691,6852.888095
-2068.095145,1321,6869.033904
-20003.48019,1736,6893.267513
-20151.133404,2410,6923.814646
-20302.259309,1974,6950.177933
-1740.529432,836,6961.884424
-20050.011202,3007,7001.774945
-3611.859759,1650,7021.083856
-20023.382388,1989,7047.589208
-20221.024383,1658,7071.192214
-12910.556078,2485,7102.170349
-20083.063177,3487,7150.891997
-18330.661239,1894,7172.132659
-1082.560722,706,7182.659823
-20265.032074,2410,7213.138487
-20006.016048,1473,7234.769931
-4049.384468,1614,7253.582893
-1814.505921,988,7266.28823
-20036.301977,2622,7302.685243
-20024.76195,2654,7339.532626
-20262.670716,1494,7357.097255
-19324.368828,3637,7405.637724
-1037.597821,703,7411.981615
-6619.993454,1985,7438.49305
-20072.417356,2238,7466.91048
-20107.807514,1703,7490.847665
-8025.124813,2339,7520.261474
-3910.221812,1609,7543.159843
-2005.430266,1213,7558.438048
-20000.370316,3578,7607.589419
-20370.182908,3758,7654.211634
-891.468686,682,7664.626574
-20076.450364,3855,7716.496889
-20221.237358,1224,7731.990697
-3178.629277,1360,7748.736
-2640.686196,1415,7770.515725
-1229.153869,652,7776.225296
-20077.589197,5000,7842.985642
-6670.342531,2376,7872.780416
-20024.864591,3099,7912.858364
-800.478507,651,7923.226455
-1844.181388,884,7935.501159
-2846.117122,1154,7950.141631
-20079.311309,2438,7980.178635
-20147.013799,3631,8028.963306
-781.91915,651,8038.880557
-1794.761488,902,8051.169147
-928.472469,560,8056.292346
-2121.944532,1300,8071.883695
-20016.704728,2263,8105.387688
-20181.841791,1061,8119.299289
-10657.709502,2373,8150.073065
-20037.370805,1495,8167.39591
-9172.815878,1441,8189.033316
-1404.848549,693,8195.366693
-20074.48744,3424,8243.775337
-1291.150754,676,8249.336567
-20119.661169,1708,8272.936585
-2583.164143,976,8285.801096
-20000.532672,2309,8315.091922
-20110.81617,2051,8342.251796
-20357.956632,2234,8375.047273
-5242.104137,2189,8402.451935
-10102.482068,3021,8442.922002
-20165.31576,2083,8470.040183
-2034.488727,816,8477.147512
-832.64515,495,8485.675593
-20024.387381,2592,8516.647101
-1208.524015,655,8526.892473
-6872.02019,3154,8568.046476
-20010.610106,3127,8609.841421
-20182.325451,1349,8630.542007
-20077.251125,3043,8670.692125
-8811.2278,2330,8699.819395
-3989.042993,2390,8729.990109
-20045.702238,2127,8757.93377
-20113.383644,3389,8805.754667
-1950.526563,1016,8818.923636
-20176.390066,1442,8835.964177
-20001.427839,2602,8867.51212
-20009.782868,3558,8917.201029
-20165.579604,2472,8947.338865
-2643.866273,1119,8961.601177
-20020.19911,1750,8985.829354
-20158.634403,2854,9024.598263
-1946.268261,714,9035.182437
-20236.804705,1330,9051.291155
-20170.216189,1048,9064.573319
-5291.579909,1931,9090.16031
-2046.973931,828,9101.931436
-1187.5831,640,9107.454613
-20072.269322,1517,9129.390975
-20201.645087,2718,9162.117193
-20143.137226,2368,9196.126208
-20113.618422,1795,9216.565603
-2685.09292,961,9229.287446
-2124.058865,888,9241.143328
-893.71271,645,9251.133004
-20023.944236,2099,9278.789367
-20175.290906,3914,9331.361316
-3704.187292,1702,9350.868804
-3941.200102,1649,9374.335471
-1461.65054,796,9385.669016
-20133.397076,2669,9418.148207
-20145.530143,5390,9492.437006
-3459.027563,1627,9511.120964
-743.338021,582,9520.500127
-20129.717237,3872,9572.832315
-7454.210346,3333,9615.564662
-20000.214183,2598,9648.127107
-3252.875585,1655,9671.6604
-1341.413546,590,9681.397394
-20178.289673,4311,9737.68431
-20195.978905,2780,9775.421098
-3235.683262,1634,9794.43258
-3192.362068,1750,9818.648473
-7746.596841,2220,9847.299912
-6646.490971,3579,9896.546709
-2049.128835,917,9904.492908
-844.156161,603,9913.894486
-20123.143105,2341,9944.248684
-2034.037032,867,9956.24643
-20121.300529,3548,10005.84799
-20081.77048,2009,10032.392486
-20171.970048,2083,10060.085044
-20017.797917,2423,10090.708422
-3108.379488,1720,10114.745108
-20144.365207,3175,10155.420318
-20053.051233,2974,10195.526353
-20247.372902,1333,10211.609117
-20325.863469,1577,10230.206523
-20084.067899,2282,10263.452297
-20135.762327,2056,10290.176559
-20005.59032,2193,10318.345584
-2427.249734,1309,10334.363363
-4119.044638,2361,10363.863715
-20207.283567,2685,10400.149469
-12234.048324,1837,10425.321454
-2383.111296,1304,10441.537214
-1532.903429,758,10452.554365
-1219.274202,723,10463.220671
-1185.351266,781,10470.307894
-1048.977859,630,10480.168112
-4638.622271,1859,10505.421508
-20301.829332,1362,10521.83642
-2210.105273,1063,10535.703189
-20001.82503,2892,10574.611478
-2756.592499,1441,10591.629605
-20354.665714,3068,10632.441209
-2970.980112,1107,10646.514174
-1285.163239,960,10659.294199
-20419.274801,2708,10696.079532
-20083.525309,2557,10731.708923
-1263.562417,610,10737.279522
-2017.731647,924,10749.496697
-20085.809339,2576,10784.986741
-1791.206235,853,10792.682356
-20210.289526,767,10803.769934
-20221.816947,1974,10830.506416
-2776.238199,1244,10845.9682
-3020.086179,1358,10866.424091
-2438.877014,1103,10880.586161
-20029.141899,2090,10907.873313
-1128.552052,757,10914.611214
-20036.993371,1070,10928.506119
-20000.168111,2484,10963.053675
-20148.279121,2888,11001.93023
-20110.770084,765,11008.779958
-20135.92152,925,11021.237612
-3824.770499,1751,11045.67618
-2982.980336,1470,11067.297988
-20138.304296,2398,11097.574622
-870.599457,702,11107.805414
-2936.162388,1351,11124.014379
-20118.135393,3250,11165.975507
-1238.387791,698,11176.402126
-1948.145806,907,11188.782805
-1606.374024,824,11196.214919
-20071.148167,1375,11216.979653
-780.577106,663,11222.95128
-1079.835039,547,11232.303646
-1300.972192,707,11242.846759
-1886.794968,964,11255.565146
-10400.727668,1710,11274.652601
-20022.433823,1153,11289.075-20140.837035,2762,11302.831052
-3366.609097,1518,11324.884741
-20154.341505,2381,11355.193745
-20133.1532,2012,11381.932684
-3703.707923,1351,11402.251611
-2742.697654,1459,11419.356158
-11969.188391,2762,11456.460338
-2829.868794,1403,11473.441754
-863.687236,631,11483.430427
-20157.93088,2800,11517.695713
-20001.325929,2471,11552.783192
-738.571912,550,11557.819442
-1772.076076,911,11570.026893
-1754.554178,855,11581.93761
-2104.19494,1076,11596.112016
-1625.688119,939,11608.917964
-20021.245855,1497,11626.684031
-2413.036731,1035,11640.598052
-20059.689353,4369,11701.770895
-2869.14264,1465,11719.265537
-20285.015608,3183,11760.524522
-20205.179927,2138,11787.944899
-1541.728745,723,11798.41676
-5411.992718,1766,11823.468216
-1890.869141,816,11835.247961
-20028.350128,1885,11856.591091
-1065.232674,560,11865.918234
-2499.671882,1275,11881.830524
-20257.892697,1384,11902.47631
-1312.417138,696,11908.537767
-20025.116806,2083,11936.369904
-7679.291739,3510,11985.490736
-2288.568407,974,11998.10549
-5048.905965,1780,12018.302546
-6170.638416,2444,12053.797076
-14420.996424,1728,12073.816647
-2650.574601,1427,12095.293211
-1462.226583,744,12106.338667
-993.646425,641,12112.154948
-20117.250341,2063,12139.550741
-20098.409944,2033,12166.681537
-2634.970012,1310,12187.18638
-20027.091491,2879,12222.469743
-2323.554168,939,12235.370781
-20048.824214,1748,12259.966609
-2972.245224,1312,12276.288448
-20161.061427,2770,12313.836378
-1606.033348,766,12325.147426
-2730.280209,1364,12341.835097
-3641.208255,1685,12366.135374
-20060.860055,2592,12398.024175
-1115.706241,624,12408.059553
-15415.026086,1906,12433.643569
-20070.974576,2222,12462.518558
-1206.789622,582,12467.886691
-10492.581968,2900,12506.943538
-20207.368972,1293,12527.181615
-1651.940082,741,12534.127451
-1065.727957,608,12543.985409
-20082.729874,2205,12572.464039
-3853.300961,1871,12598.502664
-15308.158265,2423,12629.62658
-20091.747807,2611,12666.557027
-2211.124311,899,12679.568413
-1540.473345,785,12686.848178
-20299.56109,4161,12742.382109
-20042.002304,2969,12781.810004
-2712.12962,1456,12803.396842
-1301.40963,705,12809.684417
-20179.689043,1847,12835.042265
-2278.65838,1220,12850.155854
-20112.807179,3562,12899.285337
-830.597223,665,12909.688033
-20017.81554,1236,12924.850348
-2323.037341,1237,12940.140003
-20177.274945,1865,12965.738686
-20171.002806,3529,13010.916279
-2022.784971,1150,13025.200527
-20361.319984,1314,13045.750967
-4702.787014,2297,13074.871514
-20025.705225,2431,13105.471333
-20069.170901,1582,13128.356698
-2493.403658,1147,13143.09866
-1678.948294,608,13152.750088
-20094.511844,3509,13196.882019
-1008.546484,607,13206.680212
-20069.071668,1667,13226.694733
-2136.640254,1174,13241.863304
-1007.425138,657,13252.341427
-20087.259603,2742,13290.659614
-20181.648344,1967,13317.293617
-4306.501491,2166,13345.178796
-20203.702274,3189,13387.482655
-1624.93451,808,13399.321042
-2435.988748,1044,13413.157753
-3315.045808,2016,13439.699235
-20193.248607,1894,13460.978146
-1954.15868,844,13472.828324
-793.465582,568,13482.27022
-20030.969886,2656,13514.47865
-20000.076244,2076,13542.14741
-2169.75412,1263,13562.197417
-1156.830019,571,13567.482445
-20169.478639,1922,13593.590213
-2789.053952,1460,13615.475385
-1907.446209,1254,13630.868885
-20083.482051,2478,13661.731536
-3382.966471,1652,13684.877528
-20079.506674,4491,13742.390958
-1341.911398,745,13753.640073
-5908.713596,2071,13780.727253
-20327.507382,2537,13812.410623
