#{"t_start": 1677079504.557181, "env_id": "PathColav3d-v0"}
r,l,t
--10131.051835,1893,30.59049-20--20329.744353,1825,61.07706-200-20138.004991,2415,88.24107-20-20023.74678,2950,132.755581
-2-20160.733009,2289,187.814896
-20342.21128,2195,218.024268
-20123.160555,1666,258.274399
-20296.934002,2008,297.822533
-20078.511527,1843,327.292216
-2-4116.185723,1265,343.941496
-3406.801079,809,356.535027
-20002.573946,1972,380.799-2019-20071.51491,1217,391.445-2-5632.25857,1558,409.542612
-4-200-20038.594851,3326,477.581351
-1789.083151,757,484.856699
-5870.65523,2071,524.800043
-20101.02762,886,538.-13357.06-20070.231028,2211,577.-20143.576328,3540,623.685549
-5822.206696,1828,656.887797
-20038.192735,1570,679.189677
-20307.444047,1748,711.554372
-20136.505499,912,724.792275
-2237.894635,974,738.548551
-7706.330483,945,757.401274
--20200-20030.228694,2842,793.753-20028-20074.256236,2405,825.66852
-1085.700439,580,845.632673
-20067.100238,1158,861-7171.2468-533.079142,419,865.0-20042.7-20323.553147,1285,886.126419
-539.191216,450,900.-20-20090-1096.714016,519,921.-1-15230.373175,2649,956.715511
-1-1018.699489,478,965.719714
-20055.415373,2518,1011.133381
-20025.894971,1017,1025.389587
-20419.07995,1383,1042.96329
-20326.714972,1742,1077.420-20144.978086,3634,1098.759702
-3201.376523,1502,1129.743108
--20000.961377,3211,1174.865747
-5-7658.10351,2573,1227.153806
-3139.264011,1362,1248.757478
-1083.898367,620,1266.264499
-5-20124.159227,2361,1302.750987
-20113.167607,3099,1351.179302
-20215.545779,3319,1409.585787
-20081.621276,2428,1456.621705
-1133.777198,540,1466.228032
-20131.986124,3359,1519.944287
-20092.371871,1181,1535.848253
-20166.912579,2439,1573.092447
-20290.297038,1107,1592.087771
-2147.921701,847,1604.460174
-3424.026677,1605,1631.715733
-20128.227988,2823,1674.109558
-8703.234532,1830,1707.28218
-20104.559458,2850,1752.585726
-2416.790581,759,1764.283732
-20036.399554,1956,1791.901995
-10827.681257,2520,1842.190142
-20103.263484,1077,1859.400609
-1569.124278,567,1864.985704
-20058.391431,1299,1891.478934
-1147.535585,593,1901.781707
-5584.072933,1766,1927.840128
-6429.078906,1964,1955.786604
-763.373605,430,1968.849069
-986.533288,422,1972.788488
-3046.633912,1310,1997.825885
-20017.972606,1274,2015.256544
-20128.246673,653,2038.176899
-20181.795311,1623,2058.116402
-20228.05074,1835,2088.808028
-20063.482651,1183,2115.520942
-12229.058587,1350,2132.615316
-3282.57254,1062,2154.721426
-20077.206248,833,2163.94675
-4225.19815,1184,2184.335604
-784.246601,373,2192.600222
-20231.461576,649,2199.030314
-1134.122611,535,2208.659226
-8228.529368,688,2220.637376
-20125.924657,1248,2250.214134
-20228.12308,1050,2264.941092
-20108.627986,1675,2292.700561
-20173.361083,1094,2315.869403
-20082.534553,986,2329.751494
-20142.096475,973,2347.244403
-540.615626,387,2350.945932
-20138.541675,1543,2370.608997
-20150.920511,838,2383.178701
-20195.584863,1883,2415.296225
-20001.016745,1672,2445.82854
-20134.924879,2537,2498.742907
-9088.757959,1883,2526.067831
-995.340705,496,2545.002753
-20212.313412,883,2553.390616
-11041.916569,1097,2573.013551
-20003.542018,2295,2611.609794
-20154.186144,1399,2631.156123
-20005.326628,2522,2673.715085
-20020.11183,1239,2700.000736
-20112.369045,858,2712.797097
-808.714504,515,2717.918794
-20016.160643,1313,2735.186287
-20094.314571,1856,2767.233872
-8136.171095,1924,2799.695743
-20216.385612,2822,2849.559735
-4923.496629,1847,2884.806018
-20216.664607,2588,2918.871962
-20041.28245,1640,2943.487972
-596.022025,409,2947.375273
-20014.543869,1870,2974.133055
-2204.216559,673,2985.008154
-20547.4797,1222,3007.308907
-777.72437,466,3020.445268
-1925.221031,733,3031.981468
-20110.59569,2436,3064.206718
-10819.257278,994,3078.13373
-20229.949262,1730,3106.233164
-20049.494442,2237,3154.09938
-4480.138515,1248,3178.246432
-20037.626998,2659,3227.560542
-12823.979784,1657,3252.270499
-1531.053458,820,3260.233279
-20154.99557,1532,3284.037595
-20178.562906,1536,3309.633473
-20061.406972,1895,3340.663813
-20197.028462,1844,3392.650993
-2077.500932,878,3412.183395
-20113.180969,809,3424.550918
-756.59592,498,3429.488087
-1451.557939,734,3451.003628
-20233.055196,1749,3477.070038
-20077.549137,1241,3495.336847
-741.158119,493,3512.300068
-2263.790909,1003,3526.256886
-20164.896796,1519,3550.959778
-1430.606778,622,3564.012777
-20103.129367,979,3585.548816
-20149.761108,1200,3610.933379
-20104.424772,3507,3673.199603
-20135.636823,1217,3689.487112
-20149.786425,2433,3731.758721
-1834.197993,742,3739.131998
-1986.002957,675,3750.134859
-20121.944432,2353,3800.474792
-2803.076329,1297,3832.240591
-20388.749402,2133,3866.631621
-20099.172213,1763,3894.810199
-20002.173733,2025,3925.088852
-20094.372672,1666,3950.654574
-4487.729278,1461,3969.200957
-5956.254382,2283,4013.019774
-2579.448403,1018,4031.772069
-20121.422145,1474,4059.648206
-3648.275982,1309,4076.846223
-2215.120144,977,4095.587988
-1866.701357,628,4117.023787
-1770.726288,885,4129.668183
-10097.348882,2750,4168.145195
-2384.372854,706,4179.341434
-20017.033774,2235,4213.515383
-1192.52431,541,4223.124752
-20313.248115,1651,4247.842409
-20024.529729,1909,4276.665842
-20198.470013,3403,4327.548737
-20087.300435,2860,4364.847487
-2315.677679,1239,4386.143695
-20045.681492,1858,4425.86603
-20443.164431,1353,4448.712026
-14179.347816,1437,4471.950961
-1256.188442,543,4481.608647
-2885.798365,1265,4500.104918
-3689.847064,1477,4518.87192
-4227.540499,1506,4545.139689
-20121.193014,1147,4560.676168
-20100.086949,1498,4579.843478
-1757.175032,876,4598.339584
-1611.561042,799,4616.474394
-20021.014701,1555,4640.791796
-1482.050279,636,4646.954242
-2668.78085,1268,4669.601013
-832.978015,513,4694.977051
-1590.492398,935,4718.828299
-20002.368838,2328,4756.756382
-9495.905861,2278,4790.274764
-8157.581798,1746,4817.824248
-20063.008972,2261,4852.404202
-1822.561157,1033,4873.754444
-1379.35828,681,4884.272211
-20104.518231,3943,4950.372347
-7360.472034,2370,4984.853069
-2778.732378,1131,5009.765263
-771.342993,467,5018.870342
-3584.176388,1493,5041.675746
-5050.356895,2110,5074.767555
-20110.50895,2670,5113.956891
-811.553031,525,5119.076538
-2323.285604,727,5130.488296
-20045.443266,956,5146.27225
-20087.131773,1259,5163.033862
-20162.616154,1871,5193.776278
-2855.610251,1164,5209.504173
-7045.292591,1790,5236.177045
-20110.387908,3061,5289.172859
-1251.800564,589,5294.977737
-20080.760071,2234,5330.212513
-6636.617332,1133,5345.732255
-20188.435367,2867,5382.515149
-20010.591684,1756,5410.147211
-2178.928718,795,5426.536035
-20018.217657,1795,5466.684791
-20048.538802,2320,5505.123415
-1326.861641,674,5516.204743
-2903.265499,862,5524.578303
-20151.822587,3829,5593.677911
-20121.884243,1976,5637.117155
-4741.2285,1306,5657.831621
-20222.418758,3407,5719.975244
-20258.898271,2262,5750.204841
-2217.618163,1320,5773.778704
-2950.109064,950,5799.088505
-20124.754898,1863,5831.406589
-20091.778973,2049,5865.657646
-20206.592278,2038,5900.105136
-1955.827285,815,5912.785527
-20191.248309,1893,5946.161347
-3259.036976,1585,5990.050176
-20116.55585,2289,6020.876003
-2435.723329,1267,6043.9318
-14010.531451,3387,6109.233563
-20048.403839,2376,6150.193827
-4622.235504,1483,6180.627553
-1095.401447,617,6186.841261
-738.108568,502,6201.471724
-20019.558693,1602,6221.737048
-9807.230602,1623,6246.813014
-3913.092681,1727,6272.950613
-20220.193695,1571,6295.856447
-20164.598344,2277,6339.585663
-20061.087139,2522,6384.595019
-20160.907996,1474,6404.881245
-20001.718799,1523,6428.588648
-20190.059022,2146,6475.381202
-20106.450299,2484,6507.987831
-20049.190125,3721,6570.562285
-1693.296273,796,6584.278099
-20020.82586,3081,6634.974642
-4506.304746,2044,6664.422437
-9981.6004,2174,6704.231581
-20167.627632,1529,6727.050268
-20310.31444,2805,6767.443664
-1364.388046,845,6787.443681
-20225.019043,1984,6815.745583
-1119.961361,570,6821.067703
-4007.306532,1714,6855.080285
-20118.156521,2801,6900.466904
-20180.312117,1225,6919.920123
-3754.14834,1182,6936.941513
-2327.073234,885,6952.748668
-20203.41809,2690,6996.247308
-5216.696945,2057,7028.301198
-20238.482366,2187,7058.475258
-3728.297319,1398,7085.739829
-2489.078165,984,7102.182919
-20035.849691,1780,7133.922862
-20069.491884,2480,7181.522644
-20121.208472,2460,7224.19247
-20176.335206,2077,7253.228617
-3144.326418,1133,7268.814844
-2174.654709,977,7288.930332
-1697.304509,708,7303.325551
-20113.380939,3205,7360.011958
-20210.280866,3085,7413.498836
-1353.914186,714,7423.753594
-20105.726936,2678,7466.876932
-3302.66497,1455,7493.390407
-20253.899811,1870,7524.48806
-20071.78041,2154,7563.148458
-1201.66792,681,7574.245877
-2579.7331,897,7587.557435
-20275.722274,2262,7634.594612
-9228.24456,2035,7671.321231
-20316.012315,2103,7711.75005
-20000.792406,1924,7739.354003
-20223.613513,1485,7758.334296
-1234.412509,691,7774.574221
-20068.232916,2567,7821.797519
-2674.079975,992,7839.432406
-20074.717334,1482,7858.486676
-20039.309389,1978,7886.796353
-1829.624906,917,7909.588327
-4425.579843,1530,7934.74351
-6459.861496,766,7948.672945
-20335.900342,1731,7974.402916
-20027.242288,1710,7995.30372
-20056.72613,4060,8065.5458
-6276.051126,1843,8092.411935
-3434.105663,1729,8127.835455
-8231.869074,2314,8163.482594
-2725.364207,1150,8180.090749
-20236.846059,2755,8240.108288
-2599.169338,1209,8256.30273
-5110.196044,1637,8287.121496
-20081.770897,2378,8327.491312
-1672.515766,751,8342.126192
-20106.586894,1568,8362.033835
-20133.420398,2112,8404.336101
-2293.300435,1061,8428.41665
-1918.295678,835,8453.77017
-1645.733607,1036,8468.040735
-1382.979541,640,8486.565243
-3769.824525,1529,8522.358354
-724.349673,575,8537.48878
-2006.426421,808,8562.303411
-20259.138751,2266,8619.290092
-3046.627891,1407,8644.101652
-20035.202422,2304,8682.218004
-20107.342303,2333,8726.143264
-20073.551237,1613,8752.023312
-20135.665164,1726,8780.122685
-4926.553948,2266,8812.004421
-11608.545974,1008,8830.06142
-20013.828024,1165,8846.079805
-20045.676022,1766,8880.159669
-20056.815495,1994,8920.506606
-20071.901958,2392,8959.074414
-20335.158456,3242,9018.574529
-5599.283172,1834,9048.149961
-14012.011175,1712,9073.934469
-20225.862311,2960,9136.853504
-2528.737973,1016,9160.610559
-1148.22981,735,9191.975105
-2390.235636,1306,9211.087331
-4208.370431,1296,9228.628646
-2380.052395,1075,9247.342247
-1410.048214,723,9258.748773
-4397.151287,1425,9278.550369
-20181.519752,1109,9294.013327
-2014-20123.450129,3309,9320.897-20202.118752,2636,9363.613403
-4220.851673,1455,9381.799701
-2194.208932,1251,9397.786612
-1790.3-1643.567854,992,9412.12-20065.251062,2128,9442.789491
-20424.-20403.185113,2271,9484.78-2980.1-2677.324408,1141,9500.1-9495.551514,1861,9540.116342
-8016.956618,2136,9577.916255
-20060.331944,1996,9606.720917
-5311.927435,1418,9629.595477
-2763.-5353.291954,2524,9654.47-20160.699601,1968,9671.427377
-2192.-20089.069393,2183,9718.5-20105.4-20148.252988,2479,9770.9-20062.0-20050.880394,2284,9814.350698
-20235.886982,2644,9853.028961
-2843.480533,978,9874.530253
-20066.536244,1159,9894.036862
-20044.919794,1635,9924.069995
-2341.584275,1035,9938.3-20017.607716,2462,9960.008596
-2567.-12071.586254,1365,9982.3-3374.549519,1581,10006.951217
-3082.98-14656.490861,1730,10031-2459.9610-3948.904686,1313,10057-20044.859-20111.355852,2072,10090-2447.7750-20249.447447,1432,101-20138.078994,2153,10127.401502
-20390.877589,2279,10174.862418
-2100.3113-20175.207183,2339,101-6402.344159-20000.794929,2242,10-14319.87651-3154.428219,1458,1028-8360.08380-20008.994889,2370,103-5681.000344-20172.34415,1571,103-3283.260163-20081.393839,1304,1-20063.96711,9-20060.103792,2735-20415.12625,246-4761.127918,1566-4881.637397,167-11842.29363,1662-2984.864501,114-2347.16322,907,1-20035.87786,2194,10515.808495
-20074.552247,3558,10565.990697
-2438.309511,1048,10594.228943
-10543.556693,1945,10632.480551
-13590.207753,2452,10679.030852
-20132.211382,1980,10703.692924
-20023.022662,2865,10747.366944
-5186.552357,1580,10771.055816
-2904.136871,1139,10786.545019
-20148.397903,2317,10817.70897
-20179.453187,2324,10852.251015
-3614.697732,1712,10877.462539
-20061.20117,2134,10906.866229
-2408.84146,1080,10941.164892
-4606.051697,1524,10994.474543
-20151.189387,1675,11024.783163
-2474.434429,1260,11046.093246
-7803.3545,1918,11079.802994
-20035.805668,1717,11109.670625
-20039.844318,2422,11155.990961
-4540.573912,1863,11188.429735
-20013.26011,2048,11218.277923
-20163.102911,1733,11246.781575
-20216.504688,1864,11275.230497
-20038.326849,1822,11305.066977
-20099.223633,1179,11363.910612
-2098.740389,1055,11384.90194
-20202.692596,2130,11417.527431
-20061.488289,1871,11445.492518
-3622.357553,1528,11470.863659
-14583.835885,2108,11504.419069
-20200.87626,1559,11529.116592
-19306.962139,2169,11566.885703
-20021.864284,1717,11592.092689
-20013.309478,1571,11625.012552
-20208.397993,1924,11671.643196
-13499.539914,1663,11699.809439
-20003.440625,2531,11792.16493
-20088.950801,1664,11817.369169
-15898.002997,1558,11846.633683
-4268.665888,1335,11868.366182
-3472.761742,1331,11887.465944
-20212.513212,1628,11912.923925
-20172.470986,1738,11938.328046
-20134.299937,2552,11982.052516
-20118.339454,1816,12004.867257
-20038.279864,2023,12038.045243
-20040.848949,1703,12068.370219
-20145.406241,2297,12102.566923
-20040.372293,1443,12125.317708
-20009.089055,2692,12160.487391
-3245.72399,1253,12182.254777
-20275.143159,2203,12214.709699
-20076.277366,1665,12234.993852
-6702.006016,2086,12264.721569
-20068.177855,1825,12295.378721
-20209.057202,1720,12320.530464
-20195.45989,1775,12350.55633
-14330.040768,1288,12367.043885
-20218.807205,1917,12394.261875
-20426.365103,1557,12449.65207
-8065.864297,2064,12482.715687
-20034.896784,1169,12498.36133
-3287.908414,1215,12518.635994
-20360.68519,2201,12554.608645
-2731.250072,1168,12575.029482
-20259.648755,2750,12619.660916
-20104.109655,2512,12661.641734
-20259.752276,2590,12700.430492
-20002.959736,2393,12737.42452
-3206.821868,1145,12754.495042
-20057.90104,3518,12809.621511
-20031.875338,1619,12836.176972
-20132.340595,1319,12858.395509
-20020.330348,1469,12880.878194
-20145.752541,2300,12914.489081
-20151.879854,1592,12944.18024
-1757.230701,879,12957.123776
-3058.732575,1237,12977.578171
-1720.493288,699,12984.941375
-20253.017005,1512,13017.108402
-20156.628545,1851,13055.326314
-20029.740404,2319,13085.991188
-1945.491862,966,13101.978004
-20213.570877,1651,13130.245198
-4328.518019,1675,13163.060726
-20129.896093,1241,13181.620894
-20208.870081,1478,13205.017015
-20052.936216,1806,13231.220462
-20061.473535,1179,13253.850753
-20114.638017,1564,13290.228386
-20297.486592,2343,13336.512948
-20098.927685,1285,13357.599903
-18413.030868,1916,13380.161016
-1965.609842,1087,13403.829008
-20064.431523,2845,13450.044599
-20185.706371,1840,13481.351041
-20154.500042,1789,13512.082611
-3129.760645,1159,13527.415067
-13671.57812,2264,13571.926159
-20154.680322,1640,13602.164675
-5424.010734,1969,13634.49915
-4330.667907,1504,13653.083517
-2020.521784,1067,13667.494552
-20165.692474,1383,13689.603425
-20052.202191,1794,13710.797778
-20057.854877,1372,13732.823844
-20080.999815,2518,13773.785076
-20129.58993,1721,13799.044525
-20021.414191,2412,13835.376394
-20030.761434,1808,13864.48155
-4176.885976,1313,13887.643576
-10233.930609,1782,13918.189003
-9472.689797,1455,13977.775954
-4249.437309,1423,14008.233674
-20017.142844,1788,14044.53398
-12499.92408,2608,14087.785288
-1869.196538,1156,14103.575928
-20320.643657,1960,14133.024406
-1797.25534,935,14146.087188
-20142.807016,1840,14175.276314
-3183.848777,1174,14191.086023
-3196.764743,1268,14209.490314
-20166.356734,2302,14247.286325
-1846.419093,769,14259.179528
-11852.379665,2798,14305.432134
-20019.696417,3478,14355.474976
-20096.537176,2802,14417.628181
-20064.992879,1396,14435.373873
-20237.620008,1998,14469.489821
-20175.831213,1373,14491.355224
-6753.751074,2451,14537.71175
-20118.268485,2365,14572.897897
-19176.420877,3172,14634.620963
-3945.699741,1792,14659.773223
-20048.420201,1710,14686.298572
-20032.566435,2207,14718.375311
-20011.323255,2816,14771.253854
-20235.830311,1148,14786.690702
-20044.41521,2692,14850.044712
-20104.68391,2200,14879.826449
-20543.970594,3076,14930.341813
-20009.879648,2676,14969.763765
-20179.648481,2636,15011.739761
-2399.068369,1154,15027.663476
-20110.403592,2961,15081.719985
-5278.416515,1964,15117.465452
-6094.014308,1989,15149.122125
-3445.708441,1538,15174.756415
-20036.513419,2044,15204.733833
-20228.21191,2078,15235.928871
-20108.694585,2124,15265.064945
-6001.336547,2353,15301.068473
-5907.873591,1588,15329.718387
-20103.89349,3227,15373.880976
-20331.401579,1496,15399.704206
-20183.014762,2637,15433.379523
-20063.766965,2271,15473.741221
-20119.667645,1356,15491.578498
-20225.230017,2598,15531.884207
-20171.888116,933,15540.645821
-20140.528278,2868,15582.281598
-20181.742075,1468,15610.562162
-20179.084217,2367,15641.470508
-20077.773551,1666,15668.686885
-10051.643298,1698,15689.121838
-20073.863071,2186,15730.816612
-3035.637097,1695,15756.348794
-20038.810787,1838,15791.311661
-20103.698846,2052,15819.874034
-2128.754891,1056,15846.761423
-4312.921371,1506,15875.504515
-20108.44446,1882,15911.679663
-5047.052756,1311,15928.551679
-20071.776493,2975,15994.337695
-4705.824377,1776,16043.018556
-3312.003477,1480,16073.69082
-6750.188332,2042,16108.951376
-20618.819783,2646,16147.282999
-1743.892485,860,16169.392266
-5759.717519,1998,16198.62348
-5321.371334,2390,16235.644527
-3553.140391,1271,16257.819375
-20250.991915,2460,16297.176581
-20211.507599,1732,16325.834104
-20148.536778,2446,16368.961308
-20331.86133,2140,16410.756804
-20165.997,2150,16445.128998
-20600.465249,1919,16474.571551
-19831.171345,2526,16516.574526
-1736.657171,820,16538.436068
-8656.532354,1588,16571.682645
-20029.111908,1718,16597.766488
-20346.755213,1405,16624.222843
-20138.502095,2273,16658.199616
-20022.957836,2925,16717.093186
-20131.003443,1926,16744.532696
-15636.741829,1996,16775.641987
-20079.613841,1375,16793.635634
-5661.24231,1810,16821.072154
-20282.772231,2254,16854.664715
-3658.015409,1569,16888.235676
-20032.330803,2421,16928.297529
-20138.238534,1851,16959.545035
-20045.087968,1724,16986.431684
-20352.003287,3367,17037.573945
-20405.534756,2328,17073.437244
-20100.787428,2010,17101.578234
-2484.815859,1238,17119.756861
-20268.350558,1714,17147.567531
-5786.664107,1477,17170.496489
-2266.591585,1079,17185.551878
-4924.772485,1978,17214.769026
-3313.563793,1262,17238.307983
-20016.062546,2238,17298.223777
-20089.606002,1691,17318.187168
-2886.021413,1237,17351.748677
-20030.35539,2515,17392.171148
-5851.339352,1371,17409.836559
-20085.642791,1508,17435.386244
-20093.183571,1055,17453.484747
-20001.173463,2493,17490.054347
-3043.869742,1240,17510.562713
-3002.372489,1044,17529.986633
-2642.083605,1382,17556.842253
-5234.341678,2397,17597.459972
-2273.218947,1181,17624.447107
-20223.057865,1724,17650.021104
-20009.151407,1979,17679.528345
-20161.256569,1257,17695.629104
-3889.302653,1689,17721.202392
-2696.643815,1377,17738.695755
-5748.777322,1802,17767.225445
-3097.903535,1114,17786.883791
-4453.077584,1934,17821.019683
-3670.21108,1461,17847.372224
-4870.068371,1489,17875.378318
-20027.700551,3143,17919.380616
-20355.539773,1775,17961.099707
-20202.060949,1762,17988.621315
-5139.57586,1834,18017.627054
-20077.73581,1792,18046.394308
-8940.937576,2881,18087.335921
-20083.113924,2275,18118.379118
-20151.797059,1918,18153.113185
-4288.342671,1309,18170.351031
-2061.372349,1029,18184.988
-20279.221453,961,18198.89333
-8716.805236,2452,18241.596608
-20156.036377,2565,18278.636972
-20093.735639,1669,18307.718229
-1891.325293,919,18325.648031
-4497.906921,1421,18365.030634
-20330.205791,2282,18404.606227
-20047.965709,763,18433.393015
-20056.515316,1916,18468.772464
-2542.688798,1170,18493.565588
-20067.78437,2348,18534.220212
-20004.977851,2078,18569.895662
-20203.974207,2593,18617.992093
-20415.348459,2326,18658.34233
-20182.532622,1852,18695.947416
-3956.828501,1386,18720.344047
-20138.197433,2341,18751.587878
-20120.974584,2374,18786.870513
-1944.455865,1128,18805.293527
-20230.81217,2000,18834.538963
-20187.059746,1340,18851.483692
-20086.488111,1752,18880.884787
-20338.365237,2380,18919.47859
-20248.92351,1656,18970.001697
-4246.97682,1507,19007.269258
-20161.934007,1808,19036.24367
-5521.005938,1927,19073.330984
-2933.556356,845,19092.039563
-20117.269766,1880,19128.921256
-20034.612132,2169,19158.51752
-15307.289102,2013,19188.450119
-3629.194568,1591,19216.883037
-20185.623695,2152,19253.080055
-20416.223232,1867,19292.319453
-20192.366004,2512,19357.174957
-2451.293756,1356,19381.453091
-3764.489618,1744,19435.18108
-5144.063617,2019,19470.087466
-20101.28558,1403,19487.722798
-20183.229078,3892,19550.972429
-3846.934887,1804,19591.290604
-4356.39583,2035,19622.132921
-20149.85025,1943,19649.550466
-20122.028038,2148,19683.283143
-20002.336853,1575,19710.69392
-3732.607366,1426,19728.499502
-20237.255919,2285,19771.084211
-20217.681783,1978,19805.172277
-20208.398102,1747,19834.454324
-20023.551438,1493,19864.484236
-20075.297123,2944,19918.589285
-20842.926448,2064,19951.763955
-20035.473995,2289,20003.213389
-3141.167072,1311,20019.813146
-3569.293912,1632,20072.371116
-20185.479126,2169,20104.792068
-20017.415935,1328,20133.484725
-20269.293597,2875,20187.653719
-20039.246271,1438,20209.241288
-20007.958332,2096,20240.729524
-3857.776141,1555,20274.661899
-3172.871524,1390,20292.022873
-2074.712449,1028,20315.708834
-20061.158278,2054,20361.286248
-2497.989016,1317,20382.933903
-2820.189764,1108,20405.676474
-20060.361846,1668,20426.274346
-4657.123479,1524,20457.676829
-20001.283432,1957,20485.979991
-2572.452525,1106,20502.52691
-20166.222168,1174,20518.085455
-4573.862918,1452,20538.993744
-20125.625436,2054,20567.532166
-20018.059891,1689,20594.627066
-20014.314266,1884,20627.225836
-20056.464514,1756,20659.994419
-2579.45475,1384,20686.581197
-20289.41804,1555,20705.833257
-20051.852551,2541,20754.040311
-20117.694032,2007,20788.476659
-20152.304591,1715,20823.360359
-20070.7804,2378,20855.159074
-20491.311065,1561,20895.448973
-20090.148453,2787,20950.724311
-20007.815107,3131,21007.640556
-20049.175123,1660,21044.534951
-3511.42057,1337,21063.224202
-4619.384287,1677,21090.763723
-20085.567312,1703,21113.401641
-4804.477018,1511,21136.419643
-14234.816741,2005,21168.177852
-20144.605318,1724,21200.099204
-1794.731403,1054,21220.207161
-20077.386422,1416,21238.239484
-20270.217484,1529,21259.656641
-3381.509469,1841,21288.034532
-20098.569752,3048,21337.560258
-4612.173381,1543,21363.121645
-20071.042859,1912,21392.117842
-20014.149925,1544,21411.433586
-20105.376715,1283,21429.970973
-3484.034505,1132,21445.009125
-20107.005255,1691,21479.508106
-2742.011708,1087,21521.270284
-5784.372302,1593,21568.15842
-20024.698347,1182,21587.967899
-20120.224366,2476,21620.140122
-2754.449472,1311,21647.593573
-8383.377896,1900,21670.509639
-20095.410841,1347,21696.648773
-20057.95975,1250,21722.458308
-20052.172066,1256,21740.582317
-20183.57588,1686,21775.742198
-20034.355848,1932,21806.066209
-20165.429057,1488,21824.810071
-7241.474388,1543,21848.824991
-20183.903275,1654,21869.196987
-20016.993088,1693,21894.101074
-3126.387308,1440,21918.386219
-20158.072063,1934,21951.011893
-2172.207017,978,21964.745487
-20210.619942,1169,21983.450021
-20444.447519,2107,22024.252877
-1779.580105,848,22039.732018
-20157.955221,1426,22062.407703
-20235.635535,1544,22081.757136
-20076.782379,1325,22103.106255
-20191.830331,2462,22152.747091
-10821.173831,1693,22178.040494
-20280.359514,1897,22200.845783
-20170.013818,2497,22248.057725
-20047.964786,1435,22269.82747
-20206.662513,671,22282.85103
-20246.91785,1984,22311.092475
-2067.628189,1118,22326.798385
-20186.70552,1559,22346.103907
-20043.799652,1511,22369.611773
-3096.500099,1290,22390.16365
-20135.422229,1667,22415.901713
-20203.134451,1875,22442.510106
-20113.428757,1754,22465.536993
-20207.115996,1964,22495.238631
-20003.72833,2083,22523.542527
-20224.544422,1685,22562.629555
-4986.251085,1770,22588.055146
-5701.263692,2073,22621.251745
-20000.954434,2136,22656.042036
-20050.792195,2449,22692.648546
-20145.400789,2658,22756.301502
-1685.990674,664,22762.536338
-20121.776754,2743,22801.505759
-20278.404521,1622,22846.79171
-20051.356329,1241,22880.049972
-21053.926786,2584,22934.295104
-20244.01898,1350,22956.444162
-7322.573279,1868,22993.888415
-2306.882513,1245,23015.016679
-20187.689006,1314,23031.983784
-20014.294064,1410,23049.494615
-6081.441037,1314,23073.123111
-20188.073207,2258,23114.335597
-20356.017092,1746,23147.091459
-2812.027662,1308,23206.636007
-14202.525233,2306,23243.957067
-3766.197903,1266,23272.350624
-2613.825712,1130,23287.563272
-7410.507826,1945,23327.12552
-20070.537475,2006,23394.310019
-20173.933962,2040,23429.190578
-20113.906249,1229,23459.001144
-13568.669135,2019,23542.073485
-3269.026972,1533,23572.092926
-20173.301831,2013,23601.494501
-20119.151224,2518,23636.016451
-20299.932258,1517,23666.356904
-10660.165654,1190,23690.640509
--20050.726731,1645,23715-20253.97--20080.400071,2592,23750.654861
-20056.531787,1317,23772.913615
--20031.303229,3346,23836.21383
-3193.698238,1627,23871.518828
-20147.469131,2652,23924.825286
-2589.597005,1081,23942.031893
-20047.60572,2290,23989.026569
-20108.216516,2628,24027.062895
-2698.875229,1089,24053.311249
-20496.03235,2387,24084.526761
-20313.008886,1242,24108.159055
-20181.41641,1404,24156.-20002.37-20294.029868,3676,24245.932037
-20234.692388,1978,24276.438341
-20485.111645,2257,24333.742965
-3263.576583,1467,24360.759815
-5462.979649,1606,24380-20113.127-20071.306441,2182,24422-20016.658309,3502,24466.806194
-20249.45-20279.68111,4038,24533.7-20122.6-20109.516708,2784,24578.619547
-20071.176429,1848,24609.859585
-20003.887869,2327,24642.951336
-20117.333418,2842,24781.693037
-20199.191847,2743,24836.414664
-5177.28118,1678,24882.497253
-20145.38326,2851,24922.669697
-20071.410345,2634,24956.014075
-5621.015661,1620,24979.952806
-20169.264999,1094,25001.926916
-20210.606834,1899,25028.779564
-20130.292583,3374,25078.816168
-20252.545833,3443,25127.556707
-20187.452517,2184,25161.914207
-20040.910617,2383,25241.812771
-20147.461762,2510,25274.446785
-20082.828522,2771,25317.932717
-20041.871094,3638,25372.727243
-3159.224068,1417,25415.650675
-20163.839629,2268,25453.819319
