#{"t_start": 1677165777.337994, "env_id": "PathColav3d-v0"}
r,l,t
--15.120992,8735,103.374708
--1777.252013,15121,289.51378
-30.606701,9970,412.679269
-20074.989937,100,413.588008
-30.107234,8322,427.168278
-20173-2031.867406,8999,428.622-24.630908,9281,541.959723
-67.773554,9981,665.848809
-20177.043686,280,668.143763
-3067.37691,12770,827.354819
-36.701915,9601,943.07298
-38.480041,9557,1058.879637
-20437.161261,96,1059.68293
-20256.362654,58,1060.167828
-53.375391,9731,1181.451308
-20008.098353,140,1182.634706
-20317.855698,67,1183.171691
-4870.957012,10410,1310.507651
-120.680081,9885,1433.266735
-20246.095685,54,1433.728518
-2867.222405,10076,1557.451348
-20353.255904,459,1561.16784
-20154.721847,777,1571.720021
-20352.383775,52,1572.142988
-20548.783533,233,1574.018119
-20008.136942,250,1580.367133
-20112.-77.4283,9788,160-122.351563,9621,1647.158838
-57.90723,9246,1760.210619
-20390.802081,49,1760.635266
-20183.147437,50,1761.03407
-1487.72305,9916,1883.919562
-20368.739428,227-133.631797,10074,1910.7458-1149-47.181106,9266,2024.406229
-259.912063,9900-3501.430387,9096-82.626753,9031,2138.960012
-1125.591428,9311,2252.978254
-560.135462,9191,2366.05603
-20191.407478,85,2366.770573
-20315.133741,413,2374.403987
-49.743583,9067,2486.222123
-36.939963,9082,2598.293186
-20076.801362,470,2602.162446
-20157.998419,1-30.218525,8742,2613.616045
-20075.018199,267,--50.610717,92-1600.408356,983--29.789433,8960-27.507666,88-20293.626503,873-72.66204,9700,29-2977.57313,12101,2979.442756
-6302.731238,9-103.948565,11344,-3500.792311,9-46.65047,9848,3228-51.475561-56.053258,10284,3354.498184
-63.285761,9251,3467.688167
-56.230847,11376,3607.302577
-4017.691013,9829,3729.519675
-50.647973,12269,3879.621831
-40.40593,10089,3999.794175
-47.770434,9974,4122.866303
-20248.294616,120,4123.844189
-45.783738,9452,4242.872894
-7696.665692,7800,4335.906569
-20176.25509,339,4342.825762
-6174.501407,10370,4469.966918
-1518.42586,9713,4587.429332
-33.758295,9483,4702.568605
-20388.975456,80,4703.264435
-39.644058,9193,4816.231165
-20133.700443,361,4823.428502
-20421.68072,192,4824.981803
-552.794195,10075,4951.608537
-48.297339,9824,5065.022016
-20390.30212,261,5071.035909
-5298.909239,8443,5171.65851
-33.133269,10422,5297.458968
-89.754244,11276,5434.389753
-33.336797,9506,5549.088097
-46.013195,12437,5704.076234
-109.693861,10991,5834.710661
-5679.992565,9149,5946.468138
-26.610971,8346,6047.221114
-2430.917447,13235,6208.032305
-5963.842293,10388,6333.350705
-238.019702,10803,6466.995507
-64.434723,10506,6593.656697
-2690.949581,11174,6730.468072
-46.295632,11582,6869.890914
-5479.185373,11693,7015.027716
-37.888656,10948,7149.581499
-15628.280991,12030,7293.026763
