#{"t_start": 1678873007.9987392, "env_id": "WaypointPlanner-v0"}
r,l,t
-373.498783,6321,61.165242
---742.563207,7045,131.81435-10--1-154.718358,6208,186.491-40-8--181.920801,6312,248.967-5766--175.403235,6525,312.457097
-2-127.859848,5873,370.794504
-188.12494,6078,431.48916
-698.639013,6732,499.465902
-439.948854,6451,560.937557
-234.433563,5545,613.017322
-209.475042,6442,677.351326
-218.177956,7248,748.51108
-456.620657,7777,824.367275
-682.117292,8456,909.397991
-750.372673,5328,961.102335
-189.560313,7370,1033.321063
-20254.566637,521,1037.339365
-2525.968827,7820,1115.512241
-556.988067,7826,1193.162508
-2884.486286,8261,1279.204612
-20251.431336,419,1282.441072
-623.488634,7788,1323.404872
--637.873177,6949,1354.4-183.466-114.937486,7518,1431.1-153.298-215.697411,7147,1503.3-141.604-211.39229,7124,1575.40-1977.8-224.183414,7035,1646.15-347.85-1236.330448,7237,1720.1-2455.092-185.894181,6688,1758.866065
-1122.673445,7282,1835.40373
-1322.37157,7274,1907.620823
-2837.767219,7060,1978.062051
-627.961522,7008,2045.652795
-344.965196,6877,2115.136304
-1639.354946,8598,2201.998036
-1274.887924,7297,2273.57906
-298.047803,7419,2346.62277
-146.996726,7007,2417.755715
-20015.714393,684,2423.091918
-1928.238048,8693,2511.275664
-315.592524,6785,2579.13104
-765.006232,8505,2663.471797
-147.174209,7810,2739.470158
-348.754494,8149,2820.33077
-903.278876,6268,2884.958927
-372.562341,6596,2951.356295
-273.370206,6748,3022.304525
-670.719063,5558,3077.732274
-1139.084295,3992,3117.453812
-278.021508,6346,3179.786298
-3290.932084,6351,3245.551646
-298.055444,8548,3334.301139
-975.542749,8770,3424.14463
-1670.305269,7338,3500.61913
-2347.010688,7655,3578.304693
-275.499487,6315,3640.290046
-342.936611,7348,3713.183505
-203.623698,6323,3775.497926
-956.948936,5558,3832.098896
-20184.345609,968,3842.040511
-258.875025,7540,3916.357149
-478.297838,9257,4007.497792
-20039.591195,1806,4026.877941
-328.926664,8485,4112.142801
-370.110179,7620,4190.509059
-180.815517,11459,4304.361148
-61.057185,7722,4380.857218
-1771.179112,5309,4435.911227
-2273.115141,6927,4502.841291
-515.013535,12051,4628.861496
-65.054327,10536,4733.687558
-231.445825,8975,4824.601696
-1435.341484,9308,4918.425912
-433.664576,8700,5006.997818
-9016.49337,8651,5091.952542
-332.262575,7959,5171.242228
-325.298376,9944,5271.120708
-2643.804651,12478,5394.431001
-216.996607,12583,5518.563341
-20424.013986,175,-184.465424,12-198.15884,13818,5658.013824
-20157.611433,219,5-20000.907873-20000.691483,401,5662.741899
-6353.38253,14582,5809.258866
-412.447657,15486,5962.131695
-3475.862953,9513,6056.157673
-321.335892,8790,6144.407007
-536.537194,10839,6250.943861
-78.180558,7525,6327.495089
-2266.752272,8247,6409.148948
-329.326889,8763,6494.574456
-439.524252,7860,6573.593979
-787.128543,7035,6644.096342
-225.524787,6857,6710.783943
-288.554674,6655,6778.082173
-74.82696,6141,6838.938656
-20228.694285,2104,6859.207435
-20139.875998,4173,6900.214864
-20001.045409,3952,6939.657682
-20062.901299,2208,6961.625945
-493.267817,7251,7033.780654
-337.697207,8624,7121.072024
-325.433602,8685,7207.14458
-278.77328,7504,7281.26042
-246.816722,7739,7359.845784
-978.560443,5979,7419.814902
-20060.857764,5684,7475.205216
-648.293033,8040,7555.909433
-313.784556,7888,7635.578382
-305.495522,9186,7726.807551
-1790.573614,8906,7816.750513
-315.903429,11488,7930.516993
-287.606429,11791,8046.768261
-257.082261,12846,8175.962819
-860.835368,5990,8235.529571
-247.694552,12332,8358.105805
-129.767019,13555,8491.94768
-395.742843,15963,8650.678579
-258.644093,11510,8763.639437
-333.36423,12656,8889.021604
-271.21577,14147,9028.824714
-1678.655382,12733,9153.262204
-478.810679,9773,9250.677657
-3341.61886,8298,9332.186872
-384.668681,9173,9422.530877
-2570.301899,9577,9517.138465
-688.983879,11460,9633.549881
-272.074114,11125,9743.208424
-861.632197,4406,9789.091974
-383.197082,10609,9896.040205
-215.753012,9968,9995.720833
-252.733031,7173,10067.122711
-525.893929,7442,10140.315451
-88.841719,8215,10222.040004
-185.28088,8918,10311.610305
-676.966164,8363,10393.887532
-211.493902,7341,10466.878621
-2481.793658,5327,10520.007819
-3937.690918,5323,10574.570074
-236.450183,5519,10629.999538
-2217.586476,5999,10691.412465
