#{"t_start": 1679046104.9941404, "env_id": "WaypointPlanner-v0"}
r,l,t
-20080.701954,7474,667.768255
--20069.759946,6396,1484.985497-2--20048.795857,5414,2070.014019
-20044.090627,1885,2303.27914-20--20123.340233,4028,2535.89821-20-20113.611023,2637,2909.059432-20-20160.253812,5755,3470.636327-20-20305.507993,3650,3939.950876-20042.728911,7098,4629.753511
-20-20071.384555,4409,4980.080142-20067.501926,7471,5884.917277
-20028.254005,2275,6082.22436
-20003.478013,10252,7420.227356
-20455.848657,10339,8889.041986
-20007.974171,6738,9726.768618
-20-20190.999987,11008,10666.70078-20059.223551,8250,11555.998228
-20192.089115,3908,11842.902442
-20191.066917,8097,12968.225673
-20204.296676,5171,13645.885269
-2-20147.123442,9038,14760.053409
-20161.339566,7800,15936.341766
-20204.355313,3737,16316.255192
-20133.283469,9045,17408.008376
-20648.345628,8647,18329.650648
-20165.587357,2902,18715.56784
-20090.656381,2494,19068.571054
--20192.085627,6049,19873.469437
-20046.072051,4133,20119.988576
-20079.332116,8082,21192.360477
-20159.571767,7649,22037.261264
-20156.241866,1621,22226.461506
-20154.396826,3075,22442.157102
-20133.302599,3457,22863.448877
-20189.09048,4946,23348.32228
-2-17284.246408,10127,24085.316408-20056.573403,5419,24643.846303
-20090.512443,4044,25129.230155
-20074.431358,2512,25338.356203
-20-20864.227663,7409,25859.731643-20000.859464,10052,26469.213688
-20108.382407,8978,27517.802721
-20203.041172,3833,27744.48910-200-20111.688091,5540,28312.0544-20207.201886,3464,28585.115607
-20000.129231,8136,28934.155488
-2-20000.003273,13793,29480.917249
-20069.233742,5105,30049.888499
-20001.969232,10318,30874.396852
-20021.568908,3770,31278.416122
-20014.780533,8969,32217.663994
-20001.438636,11301,33166.237262
-20059.416019,5447,33363.813858
-20081.864815,4966,33771.560687
-20004.653448,5743,33828.31718
-20169.446116,3409,34181.268535
-20000.699925,6995,34461.560293
-20111.772844,3133,34707.149941
-20060.986169,6368,35445.206491
-20243.410271,2464,35656.098457
-20112.599995,3103,36005.462573
-20312.96419,5432,36629.697985
-20024.108729,5338,37234.704195
-20168.592643,6971,38167.878479
-20003.58117,5398,38822.37279
-20324.883801,2961,39260.490422
-20018.698219,5086,39880.807419
-20175.971069,7191,40698.049213
-20183.826663,5562,41393.290315
-20095.990041,3824,41856.248198
-20342.012335,3227,42361.929624
-20002.03382,2829,42713.782367
-20110.79835,5287,43305.474469
-20077.817344,6496,44060.417513
-20002.963331,7122,44769.221124
-20002.755769,5868,45432.239756
-20032.77526,4577,45775.946949
-20095.388164,5995,46409.65784
-20304.875885,1434,46560.632591
-20155.413723,5100,47028.070841
-20143.78637,5685,47230.345148
-20053-20001.658523,14530,47917.37-20001.204064,12460,48386.689199
-20001.219862,9057,48724.256031
-20167.715262,5457,49035.473035
-20016.857498,6401,49782.832539
-20058.008461,2400,50081.464519
-20052.708879,7551,51038.215949
-20290.774863,5803,51779.650208
-20000.133453,10895,52992.128884
-20001.791546,9603,53632.626014
-20122.302675,4232,53821.84949
-20000.990828,13642,54997.243335
-20001.1951,5225,55676.646044
-20265.693598,8706,56698.318337
-20002.334959,7134,57669.833438
-20000.796013,13457,58691.300685
-20112.459277,1341,58830.936171
-20372.38862,5084,59418.668194
-20048.932704,6717,60180.84234
-20001.829079,9074,61442.156508
-20093.069125,6481,62096.394159
-20194.032101,10172,63435.428257
-20350.889318,5654,64204.827823
-20334.141355,6561,65128.805926
-20020.735829,5643,65761.25295
-20038.10827,5178,66434.10946
-20127.530556,1637,66707.351386
-20337.118094,3143,67172.736246
-20022.488308,9069,68513.502392
-20123.431259,6786,69422.075789
-20085.586827,8398,70615.429919
-20024.312816,5712,71382.892316
-20000.466954,6207,71998.376133
-20062.627425,7079,72703.445954
-20181.444531,6476,73405.182336
-20074.915061,1467,73531.743899
-20197.842985,2855,73666.271152
-20049.822677,4174,73872.481256
-20184.936668,2133,74166.837834
-20003.643162,11820,75961.539458
-20058.411363,3206,76412.383723
