#{"t_start": 1679412419.9148211, "env_id": "WaypointPlanner-v0"}
r,l,t
-194.009751,6246,76.262614
--28.883303,5606,142.70262
-35.070237,5942,216.285265
--25.317006,5375,277.840104
--200.307808,5762,343.813756
-29.566948,5241,407.224409
--35.835391,5463,472.319065
--354.250527,5047,535.162172
-6-32.237571,5110,598.35497
---5-476.598462,6154,667.8564-26.209049,4961,717.677306
--238.903-28.549768,4927,772.66-2-188.-29.762067,5160,836.170-3-34.-28.398393,4605,894.7--4--29.905228,5001,952.009849-2--32.405371,4101,1002.50616-2--26.375077,4589,1061.351581-1-24.532348,5608,1124.53052
---20.687272,5010,1187.064803
--20.574367,4009,1237.371418
--20.007219,4361,1290.09886
-22.829722,4614,1348.981707
-21.856427,4586,1403.256714
-23.618793,5038,1465.403475
-220.236972,4105,1515.638036
-21.212481,4161,1566.441142
-31.754883,4635,1625.349206
-542.697791,6476,1703.445458
-142.334968,5486,1769.58-141.48-23.092679,5037,1831.641-1465-773.130629,5829,1904.217852
-8591.181613,6376,1981.160395
-215.8371,4821,2041.558412
-26.46822,3840,2089.945996
-19.677475,3728,2133.202577
-19.213818,4280,2185.602954
-188.899218,3980,2235.34099-361-19.776806,3706,2282.497278-19-18.888609,4427,2335.769361
-19.912695,4500,2394.453054
-18.619303,4171,2445.448137
-18.206964,4073,2496.276684
-17.940929,4288,2548.549304
-17.690586,4059,2598.739527
-16.851519,3799,2642.698976
-16.158651,3756,2690.584613
-17.796059,4183,2741.999747
0121-17.743076,4113,2752.485276
4-17.93-16.989016,4247,2767.679554
56,3905,2676.873435
-606.429125,4643,2736.512383
