#{"t_start": 1707474829.517603, "env_id": "WaypointPlanner-v0"}
r,l,t
--802.129094,1729,131.490332
-802.883432,1881,262.81804
-651.916372,1790,397.286155
-6-801.989544,1609,514.719938-7-795.149815,1707,632.096778-9-963.624254,1832,770.996554-797.276281,1926,910.101823
-3975.369194,6001,1244.852106
-734.734165,1767,1377.092029
-769.793016,1921,1529.893553
-794.166092,1771,1674.098993
-684.214602,1738,1822.327024
-754.110344,1902,1968.126848
-920.948316,1761,2118.224843
-4030.708313,5490,2491.283818
-1079.641854,1811,2661.676823
-936.437676,1610,2813.570328
-914.410835,1997,2982.6
-952.454623,1611,3122.630983
-1083.633968,1917,3300.3525
-1036.540913,1871,3462.837112
-3331.852774,6001,3940.891282
-2558.460735,4874,4503.287504
-1035.64472,1869,4670.855042
-1019.806123,1665,4804.647871
-974.051872,1580,4920.216264
-835.035949,1961,5085.028879
-947.547444,1731,5217.573154
-935.664342,1798,5371.038869
-867.809867,1902,5525.178385
-785.82527-2204.987067,3386,56-876.859986,2009,5806.02361
-823.598572,1877,5949.09966
5943.596096
