Wall time,Step,Value
1714777504.241653,16384,-54.28293991088867
1714777630.8718424,32768,-55.31106185913086
1714777757.0330844,49152,-52.87738800048828
1714777883.1399267,65536,-50.253543853759766
1714778009.4897127,81920,-45.60379409790039
1714778134.8647656,98304,-45.57273864746094
1714778260.1196098,114688,-55.68918991088867
1714778386.7797635,131072,-49.25638198852539
1714778512.9416258,147456,-55.178226470947266
1714778640.2467277,163840,-53.71348571777344
1714778766.677034,180224,-53.75709915161133
1714778892.1092463,196608,-54.774627685546875
1714779018.6464162,212992,-55.116790771484375
1714779144.972077,229376,-55.32279586791992
1714779271.145816,245760,-55.36580276489258
1714779397.5623229,262144,-54.599876403808594
1714779523.9718044,278528,-53.492431640625
1714779649.0414755,294912,-51.85814666748047
1714779774.3466704,311296,-50.17271423339844
1714779901.3178651,327680,-54.31878662109375
1714780026.0204272,344064,-54.019004821777344
1714780150.1743217,360448,-55.66794967651367
1714780276.6329892,376832,-53.49983215332031
1714780401.5305853,393216,-55.672298431396484
1714780527.9656625,409600,-45.641075134277344
1714780653.786168,425984,-54.40131378173828
1714780780.327145,442368,-55.396629333496094
1714780906.9185774,458752,-51.74711227416992
1714781033.623691,475136,-55.55510330200195
1714781160.7458806,491520,-50.561424255371094
1714781286.8833141,507904,-52.2518424987793
1714781413.7111597,524288,-48.96897506713867
1714781540.1108947,540672,-50.622520446777344
1714781666.9623425,557056,-45.72555160522461
1714781792.3031988,573440,-55.72871398925781
1714781918.4559035,589824,-51.759769439697266
1714782045.0328958,606208,-51.683738708496094
1714782170.098996,622592,-54.71469497680664
1714782296.7760053,638976,-54.41944885253906
1714782423.8989902,655360,-50.07319641113281
1714782550.9523387,671744,-53.471290588378906
1714782675.8025084,688128,-52.76161193847656
1714782801.2307968,704512,-52.9599723815918
1714782927.632367,720896,-55.699764251708984
1714783053.8991413,737280,-55.511741638183594
1714783179.9235625,753664,-53.78555679321289
1714783307.0981112,770048,-55.75217819213867
1714783433.594022,786432,-48.85517501831055
1714783560.4659245,802816,-54.61356735229492
1714783687.0668614,819200,-54.530174255371094
1714783813.1449618,835584,-45.8017578125
1714783938.4235919,851968,-53.15667724609375
1714784064.6365345,868352,-55.606224060058594
1714784190.6966405,884736,-45.74015426635742
1714784316.4822443,901120,-51.152748107910156
1714784443.8181045,917504,-55.42809295654297
1714784569.475381,933888,-52.144962310791016
1714784694.8149178,950272,-49.43762969970703
1714784821.735433,966656,-55.14377975463867
1714784946.3862894,983040,-51.297088623046875
1714785071.4106038,999424,-50.77732467651367
1714785196.9293213,1015808,-54.918357849121094
