Wall time,Step,Value
1714769895.712244,16384,-50.951995849609375
1714770018.34264,32768,-52.67848205566406
1714770141.033793,49152,-49.71271896362305
1714770262.5933356,65536,-50.63075637817383
1714770385.3230267,81920,-55.65277862548828
1714770507.6800125,98304,-51.97382736206055
1714770629.107937,114688,-50.77403259277344
1714770751.285116,131072,-45.64551544189453
1714770873.499273,147456,-53.09113693237305
1714770995.5382917,163840,-50.897212982177734
1714771118.944868,180224,-51.25127410888672
1714771239.9479914,196608,-55.540985107421875
1714771361.6481311,212992,-52.84593200683594
1714771482.7407606,229376,-50.15920639038086
1714771606.2021286,245760,-45.62411117553711
1714771728.0688016,262144,-52.82261276245117
1714771851.0083425,278528,-45.75834274291992
1714771973.8605866,294912,-52.45295333862305
1714772095.916807,311296,-51.475704193115234
1714772218.565893,327680,-45.54697799682617
1714772341.2414346,344064,-51.678016662597656
1714772463.1247876,360448,-45.55801010131836
1714772586.5681474,376832,-51.294368743896484
1714772707.9688015,393216,-54.41780090332031
1714772829.617889,409600,-50.88538360595703
1714772950.6397557,425984,-54.30839920043945
1714773073.382426,442368,-54.696250915527344
1714773194.6568024,458752,-49.31538772583008
1714773317.5268211,475136,-49.591888427734375
1714773439.0266528,491520,-50.41786193847656
1714773560.7820847,507904,-51.89080810546875
1714773683.3574197,524288,-55.327598571777344
1714773806.385563,540672,-45.76345443725586
1714773927.7145853,557056,-53.667030334472656
1714774050.861808,573440,-52.68947219848633
1714774173.8841443,589824,-54.10963439941406
1714774296.8529942,606208,-54.54861068725586
1714774420.4641886,622592,-54.48844909667969
1714774543.944337,638976,-51.01877212524414
1714774667.687157,655360,-49.16515350341797
1714774790.802971,671744,-45.60569381713867
1714774914.1646566,688128,-50.3814811706543
1714775036.7859445,704512,-50.964927673339844
1714775160.0341048,720896,-53.54579544067383
1714775281.797622,737280,-51.46052551269531
1714775404.861693,753664,-49.06195831298828
1714775527.5011854,770048,-51.40097427368164
1714775649.0958614,786432,-49.845176696777344
1714775772.180661,802816,-50.60226058959961
1714775894.8628407,819200,-45.582881927490234
1714776016.729529,835584,-45.56904602050781
1714776139.2629735,851968,-55.11499786376953
1714776262.0784676,868352,-45.7200813293457
1714776383.8740613,884736,-49.92932891845703
1714776507.45271,901120,-52.798709869384766
1714776630.4312146,917504,-52.751487731933594
1714776752.7014341,933888,-51.62487030029297
1714776875.4080195,950272,-54.116275787353516
1714776998.9093308,966656,-54.85509490966797
1714777120.7031868,983040,-50.59563064575195
1714777243.5327053,999424,-55.5324592590332
1714777366.3619041,1015808,-52.359493255615234
