Wall time,Step,Value
1714762215.2040665,16384,-55.39078140258789
1714762338.696165,32768,-55.037357330322266
1714762462.377941,49152,-55.753700256347656
1714762586.3831103,65536,-55.87147903442383
1714762709.7340832,81920,-56.072845458984375
1714762833.9124084,98304,-54.13657760620117
1714762957.9741323,114688,-45.679237365722656
1714763081.2720468,131072,-54.527557373046875
1714763204.8811057,147456,-55.105987548828125
1714763328.4375875,163840,-45.70439147949219
1714763452.3849077,180224,-54.41004180908203
1714763575.8908546,196608,-45.702152252197266
1714763699.5848382,212992,-50.796607971191406
1714763822.9976964,229376,-49.98276901245117
1714763946.7656333,245760,-55.7681770324707
1714764070.1472883,262144,-51.889015197753906
1714764193.6556854,278528,-45.575965881347656
1714764317.2760873,294912,-45.77440643310547
1714764440.6954067,311296,-55.34381103515625
1714764565.2431462,327680,-55.80540084838867
1714764689.2786298,344064,-45.5775146484375
1714764812.375233,360448,-55.12435531616211
1714764936.5234468,376832,-56.08351516723633
1714765061.093524,393216,-56.19218444824219
1714765185.5653102,409600,-54.433631896972656
1714765309.7957308,425984,-54.720088958740234
1714765433.858766,442368,-56.13199996948242
1714765556.9679558,458752,-50.63295364379883
1714765681.7536814,475136,-53.07772445678711
1714765805.7669814,491520,-55.3278923034668
1714765928.5615268,507904,-45.54582214355469
1714766052.6822767,524288,-50.57184600830078
1714766176.574192,540672,-45.728172302246094
1714766299.6350715,557056,-55.64372634887695
1714766423.9717708,573440,-53.61367416381836
1714766548.110418,589824,-53.880950927734375
1714766671.4763489,606208,-53.74477005004883
1714766795.8265693,622592,-48.91725158691406
1714766920.5230196,638976,-53.25321578979492
1714767043.607327,655360,-50.79783630371094
1714767167.4986322,671744,-52.907249450683594
1714767291.9520602,688128,-50.954933166503906
1714767415.2165892,704512,-50.86240768432617
1714767539.521453,720896,-55.463661193847656
1714767662.7345653,737280,-54.44535827636719
1714767785.6683464,753664,-54.81101608276367
1714767908.130441,770048,-55.77925109863281
1714768031.700542,786432,-55.75856018066406
1714768154.7345698,802816,-50.75615692138672
1714768277.6790504,819200,-45.726375579833984
1714768400.3489668,835584,-50.24644470214844
1714768522.6128118,851968,-54.24152755737305
1714768645.2219305,868352,-55.62287902832031
1714768769.6460514,884736,-45.63922882080078
1714768892.8040938,901120,-52.56040573120117
1714769016.9856863,917504,-50.94580841064453
1714769140.8882177,933888,-47.149139404296875
1714769263.368234,950272,-54.50802230834961
1714769386.214342,966656,-53.35935974121094
1714769510.5796165,983040,-50.20790100097656
1714769635.49622,999424,-49.866233825683594
1714769759.943094,1015808,-51.50175094604492
